wavelength,species,ep,gf,HD17051,HD28635,Vesta
5274.229,58.1,1.044,0.13,10.8,10.3,
4021.33,60.1,0.32,-0.1,13.5,13.6,
4446.38,60.1,0.204,-0.35,10.6,10.3,
5092.8,60.1,0.38,-0.65,7.7,7.5,
4318.936,62.1,0.277,-0.25,9.2,8.9,
4467.341,62.1,0.659,0.15,12.9,12.6,
4519.63,62.1,0.543,-0.35,4.9,4.6,
4676.902,62.1,0.04,-0.87,5.1,4.7,
4129.609,63.1,0,-1.3353,52.5,50.4,
-4129.604,63.1,0,-1.8124,0,0,
-4129.631,63.1,0,-1.8124,0,0,
-4129.626,63.1,0,-1.2773,0,0,
-4129.62,63.1,0,-1.6161,0,0,
-4129.657,63.1,0,-1.6161,0,0,
-4129.65,63.1,0,-1.1469,0,0,
-4129.644,63.1,0,-1.5571,0,0,
-4129.689,63.1,0,-1.5571,0,0,
-4129.683,63.1,0,-0.9965,0,0,
-4129.677,63.1,0,-1.5937,0,0,
-4129.731,63.1,0,-1.5937,0,0,
-4129.725,63.1,0,-0.8454,0,0,
-4129.721,63.1,0,-1.7802,0,0,
-4129.782,63.1,0,-1.7802,0,0,
-4129.778,63.1,0,-0.701,0,0,
-4129.693,63.1,0,-1.3353,0,0,
-4129.687,63.1,0,-1.8124,0,0,
-4129.703,63.1,0,-1.8124,0,0,
-4129.696,63.1,0,-1.2773,0,0,
-4129.688,63.1,0,-1.6161,0,0,
-4129.71,63.1,0,-1.6161,0,0,
-4129.702,63.1,0,-1.1469,0,0,
-4129.696,63.1,0,-1.5571,0,0,
-4129.72,63.1,0,-1.5571,0,0,
-4129.713,63.1,0,-0.9965,0,0,
-4129.712,63.1,0,-1.5937,0,0,
-4129.735,63.1,0,-1.5937,0,0,
-4129.733,63.1,0,-0.8454,0,0,
-4129.739,63.1,0,-1.7802,0,0,
-4129.758,63.1,0,-1.7802,0,0,
-4129.765,63.1,0,-0.701,0,0,
6645.148,63.1,1.379,-1.2224,7.2,6.9,
-6645.151,63.1,1.379,-2.1309,0,0,
-6645.151,63.1,1.379,-3.5459,0,0,
-6645.137,63.1,1.379,-1.1397,0,0,
-6645.137,63.1,1.379,-1.936,0,0,
-6645.13,63.1,1.379,-3.3777,0,0,
-6645.123,63.1,1.379,-1.0555,0,0,
-6645.116,63.1,1.379,-1.8842,0,0,
-6645.099,63.1,1.379,-3.4503,0,0,
-6645.105,63.1,1.379,-0.9732,0,0,
-6645.088,63.1,1.379,-1.9293,0,0,
-6645.057,63.1,1.379,-3.7677,0,0,
-6645.084,63.1,1.379,-0.8938,0,0,
-6645.052,63.1,1.379,-2.1242,0,0,
-6645.057,63.1,1.379,-0.8178,0,0,
-6645.096,63.1,1.379,-1.2224,0,0,
-6645.119,63.1,1.379,-2.1309,0,0,
-6645.139,63.1,1.379,-3.5459,0,0,
-6645.092,63.1,1.379,-1.1397,0,0,
-6645.111,63.1,1.379,-1.936,0,0,
-6645.119,63.1,1.379,-3.3777,0,0,
-6645.088,63.1,1.379,-1.0555,0,0,
-6645.096,63.1,1.379,-1.8842,0,0,
-6645.083,63.1,1.379,-3.4503,0,0,
-6645.083,63.1,1.379,-0.9732,0,0,
-6645.07,63.1,1.379,-1.9293,0,0,
-6645.023,63.1,1.379,-3.7677,0,0,
-6645.075,63.1,1.379,-0.8938,0,0,
-6645.028,63.1,1.379,-2.1242,0,0,
-6645.059,63.1,1.379,-0.8178,0,0,
